Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addMultipleItmsFrmExcel,Chrome 70.0.3538.102,,2018-11-22 14:27:16,2018-11-22 14:29:46,2m - 30.235s,FAILED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-22 14:27:19,2018-11-22 14:29:40,2m - 21.016s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-22 14:27:25,2018-11-22 14:27:35,9.980s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-22 14:27:35,2018-11-22 14:27:35,0.592s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 14:27:35,2018-11-22 14:27:36,0.605s,PASSED
setEncryptedText,Chrome 70.0.3538.102,,2018-11-22 14:27:36,2018-11-22 14:27:36,0.349s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 14:27:36,2018-11-22 14:29:01,1m - 24.565s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-22 14:29:01,2018-11-22 14:29:06,5.438s,PASSED
"Statement - For ([i = 1, i < 10, (i++)])",Chrome 70.0.3538.102,,2018-11-22 14:29:06,2018-11-22 14:29:40,34.044s,FAILED
,,,,,,
Test Cases/addItem,Chrome 70.0.3538.102,,2018-11-22 14:29:40,2018-11-22 14:29:44,3.742s,FAILED
click,Chrome 70.0.3538.102,,2018-11-22 14:29:43,2018-11-22 14:29:43,0.097s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 14:29:43,2018-11-22 14:29:43,0.149s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-22 14:29:43,2018-11-22 14:29:43,0.163s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-22 14:29:43,2018-11-22 14:29:44,0.415s,FAILED
,,,,,,
Test Cases/addItem,Chrome 70.0.3538.102,,2018-11-22 14:29:44,2018-11-22 14:29:45,1.460s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 14:29:44,2018-11-22 14:29:44,0.064s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 14:29:44,2018-11-22 14:29:44,0.125s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-22 14:29:44,2018-11-22 14:29:44,0.190s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-22 14:29:44,2018-11-22 14:29:45,0.199s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 14:29:45,2018-11-22 14:29:45,0.123s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 14:29:45,2018-11-22 14:29:45,0.092s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 14:29:45,2018-11-22 14:29:45,0.613s,PASSED
