Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addMultipleItmsFrmExcel,Chrome 71.0.3578.98,,2018-12-19 11:44:25,2018-12-19 11:48:09,3m - 43.955s,PASSED
,,,,,,
Test Cases/login,Chrome 71.0.3578.98,,2018-12-19 11:44:25,2018-12-19 11:48:00,3m - 34.412s,PASSED
openBrowser,Chrome 71.0.3578.98,,2018-12-19 11:44:26,2018-12-19 11:44:42,16.420s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2018-12-19 11:44:42,2018-12-19 11:44:45,2.843s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 11:44:45,2018-12-19 11:44:45,0.298s,PASSED
setEncryptedText,Chrome 71.0.3578.98,,2018-12-19 11:44:45,2018-12-19 11:44:45,0.226s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 11:44:45,2018-12-19 11:47:40,2m - 55.020s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2018-12-19 11:47:40,2018-12-19 11:48:00,19.280s,PASSED
,,,,,,
Test Cases/addItem,Chrome 71.0.3578.98,,2018-12-19 11:48:00,2018-12-19 11:48:04,4.476s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 11:48:00,2018-12-19 11:48:00,0.113s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 11:48:00,2018-12-19 11:48:02,2.234s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 11:48:02,2018-12-19 11:48:02,0.358s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 11:48:02,2018-12-19 11:48:03,0.293s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 11:48:03,2018-12-19 11:48:03,0.123s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 11:48:03,2018-12-19 11:48:03,0.066s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 11:48:03,2018-12-19 11:48:04,1.161s,PASSED
,,,,,,
Test Cases/addItem,Chrome 71.0.3578.98,,2018-12-19 11:48:04,2018-12-19 11:48:06,1.409s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 11:48:04,2018-12-19 11:48:04,0.073s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 11:48:04,2018-12-19 11:48:04,0.129s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 11:48:04,2018-12-19 11:48:04,0.165s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 11:48:04,2018-12-19 11:48:05,0.189s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 11:48:05,2018-12-19 11:48:05,0.091s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 11:48:05,2018-12-19 11:48:05,0.049s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 11:48:05,2018-12-19 11:48:06,0.705s,PASSED
,,,,,,
Test Cases/addItem,Chrome 71.0.3578.98,,2018-12-19 11:48:06,2018-12-19 11:48:08,2.082s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 11:48:06,2018-12-19 11:48:06,0.238s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 11:48:06,2018-12-19 11:48:06,0.142s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 11:48:06,2018-12-19 11:48:06,0.192s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2018-12-19 11:48:06,2018-12-19 11:48:07,0.461s,PASSED
setText,Chrome 71.0.3578.98,,2018-12-19 11:48:07,2018-12-19 11:48:07,0.126s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 11:48:07,2018-12-19 11:48:07,0.321s,PASSED
click,Chrome 71.0.3578.98,,2018-12-19 11:48:07,2018-12-19 11:48:08,0.594s,PASSED
