Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
addMultipleItmsFrmExcel,Chrome 70.0.3538.102,,2018-11-22 14:23:52,2018-11-22 14:24:48,56.075s,FAILED
,,,,,,
Test Cases/addItem,Chrome 70.0.3538.102,,2018-11-22 14:23:55,2018-11-22 14:24:31,35.894s,FAILED
click,Chrome 70.0.3538.102,,2018-11-22 14:24:00,2018-11-22 14:24:11,10.598s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 14:24:11,2018-11-22 14:24:11,0.287s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-22 14:24:11,2018-11-22 14:24:11,0.323s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-22 14:24:11,2018-11-22 14:24:12,0.202s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-22 14:24:12,2018-11-22 14:24:12,0.153s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 14:24:12,2018-11-22 14:24:12,0.125s,PASSED
click,Chrome 70.0.3538.102,,2018-11-22 14:24:12,2018-11-22 14:24:31,18.751s,FAILED
,,,,,,
Test Cases/addItem,Chrome 70.0.3538.102,,2018-11-22 14:24:31,2018-11-22 14:24:39,8.393s,FAILED
click,Chrome 70.0.3538.102,,2018-11-22 14:24:31,2018-11-22 14:24:39,8.052s,FAILED
,,,,,,
Test Cases/addItem,Chrome 70.0.3538.102,,2018-11-22 14:24:39,2018-11-22 14:24:48,8.450s,FAILED
click,Chrome 70.0.3538.102,,2018-11-22 14:24:39,2018-11-22 14:24:47,8.059s,FAILED
